,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
246,246,ROCKSTAR,0.688,0.466,0.0641,0.29,76.005,['lo-fi cover']
247,247,PRC,0.419,0.731,0.0745,0.0762,140.983,"['hip hop', 'virginia hip hop']"
248,248,A Puro Dolor,0.743,0.634,0.0334,0.0632,129.888,"['corrido', 'sierreno']"
249,249,Bailando,0.807,0.644,0.0308,0.669,130.015,['bachata']
250,250,Proyecto X,0.796,0.55,0.0746,0.137,127.982,"['corrido', 'sierreno']"
251,251,Tipo Gatsby,0.563,0.84,0.0309,0.021,125.613,"['corrido', 'corridos tumbados', 'sierreno']"
252,252,Igual Que Un Ángel (with Peso Pluma),0.693,0.0972,0.0367,0.806,84.989,['colombian pop']
253,253,Bendecida,0.67,0.476,0.0333,0.0117,110.948,[]
254,254,El Azul,0.561,0.643,0.054,0.232,143.907,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
255,255,Regalo De Dios,0.792,0.516,0.027,0.197,108.939,"['banda', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
256,256,Ojitos Lindos,0.647,0.686,0.0413,0.08,79.928,"['reggaeton', 'trap latino', 'urbano latino']"
257,257,FLASHES,0.839,0.83,0.0479,0.363,117.997,"['german pop', 'modern rock']"
